id,domain,function_name,task,role,params,algorithm,settings,supabase_tables,rls_policy,edge_function
3521,channel_accessibility,tg_channel_func_03521,"Implement channel_accessibility workflow #3521",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_7,edge_accessibility_03521
3522,channel_theming,tg_channel_func_03522,"Implement channel_theming workflow #3522",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_1,edge_theming_03522
3523,channel_uiux,tg_channel_func_03523,"Implement channel_uiux workflow #3523",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_2,edge_uiux_03523
3524,channel_mobile,tg_channel_func_03524,"Implement channel_mobile workflow #3524",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_3,edge_mobile_03524
3525,channel_web,tg_channel_func_03525,"Implement channel_web workflow #3525",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_4,edge_web_03525
3526,channel_desktop,tg_channel_func_03526,"Implement channel_desktop workflow #3526",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_5,edge_desktop_03526
3527,channel_offline_sync,tg_channel_func_03527,"Implement channel_offline_sync workflow #3527",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_6,edge_offline_sync_03527
3528,channel_conflict_resolution,tg_channel_func_03528,"Implement channel_conflict_resolution workflow #3528",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_7,edge_conflict_resolution_03528
3529,channel_rate_limits,tg_channel_func_03529,"Implement channel_rate_limits workflow #3529",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_1,edge_rate_limits_03529
3530,channel_abuse_prevention,tg_channel_func_03530,"Implement channel_abuse_prevention workflow #3530",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_2,edge_abuse_prevention_03530
3531,channel_security,tg_channel_func_03531,"Implement channel_security workflow #3531",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_3,edge_security_03531
3532,channel_audit,tg_channel_func_03532,"Implement channel_audit workflow #3532",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_4,edge_audit_03532
3533,channel_compliance,tg_channel_func_03533,"Implement channel_compliance workflow #3533",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_5,edge_compliance_03533
3534,channel_retention,tg_channel_func_03534,"Implement channel_retention workflow #3534",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_6,edge_retention_03534
3535,channel_archiving,tg_channel_func_03535,"Implement channel_archiving workflow #3535",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_7,edge_archiving_03535
3536,channel_backup,tg_channel_func_03536,"Implement channel_backup workflow #3536",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_1,edge_backup_03536
3537,channel_restore,tg_channel_func_03537,"Implement channel_restore workflow #3537",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_2,edge_restore_03537
3538,channel_migrations,tg_channel_func_03538,"Implement channel_migrations workflow #3538",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_3,edge_migrations_03538
3539,channel_schema,tg_channel_func_03539,"Implement channel_schema workflow #3539",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_4,edge_schema_03539
3540,channel_rls,tg_channel_func_03540,"Implement channel_rls workflow #3540",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_5,edge_rls_03540
3541,channel_indexes,tg_channel_func_03541,"Implement channel_indexes workflow #3541",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_6,edge_indexes_03541
3542,channel_realtime,tg_channel_func_03542,"Implement channel_realtime workflow #3542",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_7,edge_realtime_03542
3543,channel_edge_functions,tg_channel_func_03543,"Implement channel_edge_functions workflow #3543",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_1,edge_edge_functions_03543
3544,channel_storage,tg_channel_func_03544,"Implement channel_storage workflow #3544",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_2,edge_storage_03544
3545,channel_cdn,tg_channel_func_03545,"Implement channel_cdn workflow #3545",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_3,edge_cdn_03545
3546,channel_cache,tg_channel_func_03546,"Implement channel_cache workflow #3546",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_4,edge_cache_03546
3547,channel_jobs,tg_channel_func_03547,"Implement channel_jobs workflow #3547",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_5,edge_jobs_03547
3548,channel_queue,tg_channel_func_03548,"Implement channel_queue workflow #3548",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_6,edge_queue_03548
3549,channel_observability,tg_channel_func_03549,"Implement channel_observability workflow #3549",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_7,edge_observability_03549
3550,channel_alerts,tg_channel_func_03550,"Implement channel_alerts workflow #3550",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_1,edge_alerts_03550
3551,channel_slo,tg_channel_func_03551,"Implement channel_slo workflow #3551",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_2,edge_slo_03551
3552,channel_testing,tg_channel_func_03552,"Implement channel_testing workflow #3552",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_3,edge_testing_03552
3553,channel_e2e,tg_channel_func_03553,"Implement channel_e2e workflow #3553",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_4,edge_e2e_03553
3554,channel_load_testing,tg_channel_func_03554,"Implement channel_load_testing workflow #3554",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_5,edge_load_testing_03554
3555,channel_chaos,tg_channel_func_03555,"Implement channel_chaos workflow #3555",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_6,edge_chaos_03555
3556,channel_release,tg_channel_func_03556,"Implement channel_release workflow #3556",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_7,edge_release_03556
3557,channel_feature_flags,tg_channel_func_03557,"Implement channel_feature_flags workflow #3557",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_1,edge_feature_flags_03557
3558,channel_canary,tg_channel_func_03558,"Implement channel_canary workflow #3558",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_2,edge_canary_03558
3559,channel_kill_switch,tg_channel_func_03559,"Implement channel_kill_switch workflow #3559",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_3,edge_kill_switch_03559
3560,channel_support,tg_channel_func_03560,"Implement channel_support workflow #3560",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_4,edge_support_03560
3561,channel_admin_console,tg_channel_func_03561,"Implement channel_admin_console workflow #3561",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_5,edge_admin_console_03561
3562,channel_creator_tools,tg_channel_func_03562,"Implement channel_creator_tools workflow #3562",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_6,edge_creator_tools_03562
3563,channel_branding,tg_channel_func_03563,"Implement channel_branding workflow #3563",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_7,edge_branding_03563
3564,channel_templates,tg_channel_func_03564,"Implement channel_templates workflow #3564",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_1,edge_templates_03564
3565,channel_form_builder,tg_channel_func_03565,"Implement channel_form_builder workflow #3565",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_2,edge_form_builder_03565
3566,channel_payments,tg_channel_func_03566,"Implement channel_payments workflow #3566",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_3,edge_payments_03566
3567,channel_referrals,tg_channel_func_03567,"Implement channel_referrals workflow #3567",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_4,edge_referrals_03567
3568,channel_campaigns,tg_channel_func_03568,"Implement channel_campaigns workflow #3568",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_5,edge_campaigns_03568
3569,channel_ab_tests,tg_channel_func_03569,"Implement channel_ab_tests workflow #3569",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_6,edge_ab_tests_03569
3570,channel_segmentation,tg_channel_func_03570,"Implement channel_segmentation workflow #3570",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_7,edge_segmentation_03570
3571,channel_core,tg_channel_func_03571,"Implement channel_core workflow #3571",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_1,edge_core_03571
3572,channel_profile,tg_channel_func_03572,"Implement channel_profile workflow #3572",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_2,edge_profile_03572
3573,channel_privacy,tg_channel_func_03573,"Implement channel_privacy workflow #3573",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_3,edge_privacy_03573
3574,channel_permissions,tg_channel_func_03574,"Implement channel_permissions workflow #3574",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_4,edge_permissions_03574
3575,channel_membership,tg_channel_func_03575,"Implement channel_membership workflow #3575",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_5,edge_membership_03575
3576,channel_posts,tg_channel_func_03576,"Implement channel_posts workflow #3576",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_6,edge_posts_03576
3577,channel_media,tg_channel_func_03577,"Implement channel_media workflow #3577",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_7,edge_media_03577
3578,channel_reactions,tg_channel_func_03578,"Implement channel_reactions workflow #3578",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_1,edge_reactions_03578
3579,channel_comments,tg_channel_func_03579,"Implement channel_comments workflow #3579",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_2,edge_comments_03579
3580,channel_threads,tg_channel_func_03580,"Implement channel_threads workflow #3580",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_3,edge_threads_03580
3581,channel_pinned,tg_channel_func_03581,"Implement channel_pinned workflow #3581",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_4,edge_pinned_03581
3582,channel_scheduling,tg_channel_func_03582,"Implement channel_scheduling workflow #3582",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_5,edge_scheduling_03582
3583,channel_drafts,tg_channel_func_03583,"Implement channel_drafts workflow #3583",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_6,edge_drafts_03583
3584,channel_moderation,tg_channel_func_03584,"Implement channel_moderation workflow #3584",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_7,edge_moderation_03584
3585,channel_reports,tg_channel_func_03585,"Implement channel_reports workflow #3585",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_1,edge_reports_03585
3586,channel_antispam,tg_channel_func_03586,"Implement channel_antispam workflow #3586",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_2,edge_antispam_03586
3587,channel_search,tg_channel_func_03587,"Implement channel_search workflow #3587",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_3,edge_search_03587
3588,channel_discovery,tg_channel_func_03588,"Implement channel_discovery workflow #3588",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_4,edge_discovery_03588
3589,channel_invites,tg_channel_func_03589,"Implement channel_invites workflow #3589",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_5,edge_invites_03589
3590,channel_links,tg_channel_func_03590,"Implement channel_links workflow #3590",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_6,edge_links_03590
3591,channel_qr,tg_channel_func_03591,"Implement channel_qr workflow #3591",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_7,edge_qr_03591
3592,channel_notifications,tg_channel_func_03592,"Implement channel_notifications workflow #3592",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_1,edge_notifications_03592
3593,channel_read_state,tg_channel_func_03593,"Implement channel_read_state workflow #3593",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_2,edge_read_state_03593
3594,channel_analytics,tg_channel_func_03594,"Implement channel_analytics workflow #3594",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_3,edge_analytics_03594
3595,channel_growth,tg_channel_func_03595,"Implement channel_growth workflow #3595",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_4,edge_growth_03595
3596,channel_advertising,tg_channel_func_03596,"Implement channel_advertising workflow #3596",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_5,edge_advertising_03596
3597,channel_monetization,tg_channel_func_03597,"Implement channel_monetization workflow #3597",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_6,edge_monetization_03597
3598,channel_premium,tg_channel_func_03598,"Implement channel_premium workflow #3598",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_7,edge_premium_03598
3599,channel_business,tg_channel_func_03599,"Implement channel_business workflow #3599",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_1,edge_business_03599
3600,channel_bot_api,tg_channel_func_03600,"Implement channel_bot_api workflow #3600",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_2,edge_bot_api_03600
3601,channel_webhooks,tg_channel_func_03601,"Implement channel_webhooks workflow #3601",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_3,edge_webhooks_03601
3602,channel_automation,tg_channel_func_03602,"Implement channel_automation workflow #3602",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_4,edge_automation_03602
3603,channel_ai_tools,tg_channel_func_03603,"Implement channel_ai_tools workflow #3603",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_5,edge_ai_tools_03603
3604,channel_translation,tg_channel_func_03604,"Implement channel_translation workflow #3604",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_6,edge_translation_03604
3605,channel_transcription,tg_channel_func_03605,"Implement channel_transcription workflow #3605",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_7,edge_transcription_03605
3606,channel_voice,tg_channel_func_03606,"Implement channel_voice workflow #3606",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_1,edge_voice_03606
3607,channel_live_streams,tg_channel_func_03607,"Implement channel_live_streams workflow #3607",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_2,edge_live_streams_03607
3608,channel_polls,tg_channel_func_03608,"Implement channel_polls workflow #3608",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_3,edge_polls_03608
